,paragraph_ID,text_ID,filename,condition
0,1,5,N_t5_p1,N
1,2,5,N_t5_p2,N
2,3,5,N_t5_p3,N
3,4,5,N_t5_p4,N
4,5,5,N_t5_p5,N
5,6,5,N_t5_p6,N
6,1,4,H_t4_p1,H
7,2,4,H_t4_p2,H
8,3,4,H_t4_p3,H
9,4,4,H_t4_p4,H
10,5,4,H_t4_p5,H
11,6,4,H_t4_p6,H
12,1,6,C_t6_p1,C
13,2,6,C_t6_p2,C
14,3,6,C_t6_p3,C
15,4,6,C_t6_p4,C
16,5,6,C_t6_p5,C
17,6,6,C_t6_p6,C
18,1,3,C_t3_p1,C
19,2,3,C_t3_p2,C
20,3,3,C_t3_p3,C
21,4,3,C_t3_p4,C
22,5,3,C_t3_p5,C
23,6,3,C_t3_p6,C
24,1,1,H_t1_p1,H
25,2,1,H_t1_p2,H
26,3,1,H_t1_p3,H
27,4,1,H_t1_p4,H
28,5,1,H_t1_p5,H
29,6,1,H_t1_p6,H
30,1,2,N_t2_p1,N
31,2,2,N_t2_p2,N
32,3,2,N_t2_p3,N
33,4,2,N_t2_p4,N
34,5,2,N_t2_p5,N
35,6,2,N_t2_p6,N
