indexes_lookup,text_lookup,paragraph_lookup
1,1,1
2,1,1
3,1,1
4,1,2
5,1,2
6,1,2
7,1,2
8,1,2
9,1,2
10,1,2
11,1,2
12,1,2
13,1,2
14,1,2
15,1,2
16,1,2
17,1,2
18,1,2
19,1,2
20,1,2
21,1,2
22,1,2
23,1,2
24,1,2
25,1,2
26,1,2
27,1,2
28,1,3
29,1,3
30,1,3
31,1,3
32,1,3
33,1,3
34,1,3
35,1,3
36,1,3
37,1,3
38,1,3
39,1,3
40,1,3
41,1,3
42,1,3
43,1,3
44,1,3
45,1,3
46,1,3
47,1,3
48,1,3
49,1,3
50,1,4
51,1,4
52,1,4
53,1,4
54,1,4
55,1,4
56,1,4
57,1,4
58,1,4
59,1,4
60,1,4
61,1,4
62,1,4
63,1,4
64,1,4
65,1,4
66,1,4
67,1,4
68,1,4
69,1,4
70,1,4
71,1,4
72,1,5
73,1,5
74,1,5
75,1,5
76,1,5
77,1,5
78,1,5
79,1,5
80,1,5
81,1,5
82,1,5
83,1,5
84,1,5
85,1,5
86,1,5
87,1,5
88,1,5
89,1,5
90,1,5
91,1,5
92,1,5
93,1,5
94,1,5
95,1,5
96,1,5
97,1,5
98,1,5
99,1,5
100,1,5
101,1,5
102,1,5
103,1,5
104,1,5
105,1,6
106,1,6
107,1,6
108,1,6
109,1,6
110,1,6
111,1,6
112,1,6
113,1,6
114,1,6
115,1,6
116,1,6
117,1,6
118,1,6
119,1,6
120,1,6
121,1,6
122,2,1
123,2,2
124,2,2
125,2,2
126,2,2
127,2,2
128,2,2
129,2,2
130,2,2
131,2,2
132,2,2
133,2,2
134,2,2
135,2,2
136,2,2
137,2,2
138,2,2
139,2,2
140,2,2
141,2,3
142,2,3
143,2,3
144,2,3
145,2,3
146,2,3
147,2,3
148,2,3
149,2,3
150,2,3
151,2,3
152,2,3
153,2,3
154,2,3
155,2,3
156,2,3
157,2,3
158,2,3
159,2,3
160,2,4
161,2,4
162,2,4
163,2,4
164,2,4
165,2,4
166,2,4
167,2,4
168,2,4
169,2,4
170,2,4
171,2,4
172,2,4
173,2,4
174,2,4
175,2,4
176,2,4
177,2,4
178,2,4
179,2,4
180,2,4
181,2,4
182,2,4
183,2,5
184,2,5
185,2,5
186,2,5
187,2,5
188,2,5
189,2,5
190,2,5
191,2,5
192,2,5
193,2,5
194,2,5
195,2,5
196,2,5
197,2,5
198,2,5
199,2,5
200,2,5
201,2,5
202,2,6
203,2,6
204,2,6
205,2,6
206,2,6
207,2,6
208,2,6
209,2,6
210,2,6
211,2,6
212,2,6
213,2,6
214,2,6
215,2,6
216,2,6
217,2,6
218,2,6
219,2,6
220,2,6
221,2,6
222,2,6
223,2,6
224,2,6
225,2,6
226,3,1
227,3,1
228,3,2
229,3,2
230,3,2
231,3,2
232,3,2
233,3,2
234,3,2
235,3,2
236,3,2
237,3,2
238,3,2
239,3,2
240,3,2
241,3,2
242,3,2
243,3,2
244,3,2
245,3,2
246,3,2
247,3,2
248,3,2
249,3,2
250,3,2
251,3,2
252,3,2
253,3,2
254,3,2
255,3,2
256,3,2
257,3,2
258,3,3
259,3,3
260,3,3
261,3,3
262,3,3
263,3,3
264,3,3
265,3,3
266,3,3
267,3,3
268,3,3
269,3,3
270,3,3
271,3,3
272,3,3
273,3,3
274,3,3
275,3,3
276,3,4
277,3,4
278,3,4
279,3,4
280,3,4
281,3,4
282,3,4
283,3,4
284,3,4
285,3,4
286,3,4
287,3,4
288,3,4
289,3,4
290,3,4
291,3,4
292,3,4
293,3,4
294,3,4
295,3,5
296,3,5
297,3,5
298,3,5
299,3,5
300,3,5
301,3,5
302,3,5
303,3,5
304,3,5
305,3,5
306,3,5
307,3,5
308,3,5
309,3,5
310,3,5
311,3,5
312,3,5
313,3,5
314,3,5
315,3,5
316,3,6
317,3,6
318,3,6
319,3,6
320,3,6
321,3,6
322,3,6
323,3,6
324,3,6
325,3,6
326,3,6
327,3,6
328,3,6
329,3,6
330,3,6
331,3,6
332,3,6
333,3,6
334,3,6
335,3,6
336,3,6
337,4,1
338,4,1
339,4,2
340,4,2
